table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
ps,pl_cmassjstr,char,200.0,,200.0,Planet Mass*sin(i)/sin(i) [Jupiter Mass],,Mjupiter,,0,0,0,126,200s
ps,pl_cmasse,double,,,,Planet Mass*sin(i)/sin(i) [Earth Mass],,Mearth,,0,0,0,127,8.3f
ps,pl_cmasseerr1,double,,,,Planet Mass*sin(i)/sin(i) [Earth Mass] Upper Unc.,,Mearth,,0,0,0,128,8.3f
ps,pl_cmasseerr2,double,,,,Planet Mass*sin(i)/sin(i) [Earth Mass] Lower Unc.,,Mearth,,0,0,0,129,9.3f
ps,pl_cmasselim,int,,,,Planet Mass*sin(i)/sin(i) [Earth Mass] Limit Flag,,,,0,0,0,130,13d
ps,pl_cmassestr,char,200.0,,200.0,Planet Mass*sin(i)/sin(i) [Earth Mass],,Mearth,,0,0,0,131,200s
ps,pl_massj,double,,,,Planet Mass [Jupiter Mass],,Mjupiter,,0,0,0,132,8.5f
ps,pl_massjerr1,double,,,,Planet Mass [Jupiter Mass] Upper Unc.,,Mjupiter,,0,0,0,133,8.5f
ps,pl_massjerr2,double,,,,Planet Mass [Jupiter Mass] Lower Unc.,,Mjupiter,,0,0,0,134,8.5f
ps,pl_massjlim,int,,,,Planet Mass [Jupiter Mass] Limit Flag,,,,0,0,0,135,12d
ps,pl_massjstr,char,200.0,,200.0,Planet Mass [Jupiter Mass],,Mjupiter,,0,0,0,136,200s
ps,pl_masse,double,,,,Planet Mass [Earth Mass],,Mearth,,0,0,0,137,11.5f
ps,pl_masseerr1,double,,,,Planet Mass [Earth Mass] Upper Unc.,,Mearth,,0,0,0,138,11.5f
ps,pl_masseerr2,double,,,,Planet Mass [Earth Mass] Lower Unc.,,Mearth,,0,0,0,139,11.5f
ps,pl_masselim,int,,,,Planet Mass [Earth Mass] Limit Flag,,,,0,0,0,140,12d
ps,pl_massestr,char,200.0,,200.0,Planet Mass [Earth Mass],,Mearth,,0,0,0,141,200s
ps,pl_bmassj,double,,,,Planet Mass or Mass*sin(i) [Jupiter Mass],,Mjupiter,,0,1,0,142,8.5f
ps,pl_bmassjerr1,double,,,,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,,Mjupiter,,0,1,0,143,8.5f
ps,pl_bmassjerr2,double,,,,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,,Mjupiter,,0,1,0,144,8.5f
ps,pl_bmassjlim,int,,,,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,,,,0,1,0,145,13d
ps,pl_bmassjstr,char,200.0,,200.0,Planet Mass or Mass*sin(i) [Jupiter Mass],,Mjupiter,,0,0,0,146,200s
ps,pl_bmasse,double,,,,Planet Mass or Mass*sin(i) [Earth Mass],,Mearth,,0,1,0,147,11.5f
ps,pl_bmasseerr1,double,,,,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,,Mearth,,0,1,0,148,11.5f
ps,pl_bmasseerr2,double,,,,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,,Mearth,,0,1,0,149,11.5f
ps,pl_bmasselim,int,,,,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,,,,0,1,0,150,13d
ps,pl_bmassestr,char,200.0,,200.0,Planet Mass or Mass*sin(i) [Earth Mass],,Mearth,,0,0,0,151,200s
ps,pl_bmassprov,char,200.0,,200.0,Planet Mass or Mass*sin(i) Provenance,,,,0,1,0,152,200s
ps,pl_msinij,double,,,,Planet Mass*sin(i) [Jupiter Mass],,Mjupiter,,0,0,0,153,8.5f
ps,pl_msinijerr1,double,,,,Planet Mass*sin(i) [Jupiter Mass] Upper Unc.,,Mjupiter,,0,0,0,154,8.5f
ps,pl_msinijerr2,double,,,,Planet Mass*sin(i) [Jupiter Mass] Lower Unc.,,Mjupiter,,0,0,0,155,8.5f
ps,pl_msinijlim,int,,,,Planet Mass*sin(i) [Jupiter Mass] Limit Flag,,,,0,0,0,156,13d
ps,pl_msinijstr,char,200.0,,200.0,Planet Mass*sin(i) [Jupiter Mass],,Mjupiter,,0,0,0,157,200s
ps,pl_msinie,double,,,,Planet Mass*sin(i) [Earth Mass],,Mearth,,0,0,0,158,11.5f
ps,pl_msinieerr1,double,,,,Planet Mass*sin(i) [Earth Mass] Upper Unc.,,Mearth,,0,0,0,159,11.5f
ps,pl_msinieerr2,double,,,,Planet Mass*sin(i) [Earth Mass] Lower Unc.,,Mearth,,0,0,0,160,11.5f
ps,pl_msinielim,int,,,,Planet Mass*sin(i) [Earth Mass] Limit Flag,,,,0,0,0,161,13d
ps,pl_msiniestr,char,200.0,,200.0,Planet Mass*sin(i) [Earth Mass],,Mearth,,0,0,0,162,200s
ps,st_teff,double,,,,Stellar Effective Temperature [K],,K,,0,1,0,163,8.2f
ps,st_tefferr1,double,,,,Stellar Effective Temperature Upper Unc. [K],,K,,0,1,0,164,8.2f
ps,st_tefferr2,double,,,,Stellar Effective Temperature Lower Unc. [K],,K,,0,1,0,165,8.2f
ps,st_tefflim,int,,,,Stellar Effective Temperature Limit Flag,,,,0,1,0,166,11d
ps,st_teffstr,char,200.0,,200.0,Stellar Effective Temperature [K],,K,,0,0,0,167,200s
ps,st_met,double,,,,Stellar Metallicity [dex],,dex,,0,1,0,168,6.3f
ps,st_meterr1,double,,,,Stellar Metallicity Upper Unc. [dex],,dex,,0,1,0,169,6.3f
ps,st_meterr2,double,,,,Stellar Metallicity Lower Unc. [dex],,dex,,0,1,0,170,6.3f
ps,st_metlim,int,,,,Stellar Metallicity Limit Flag,,,,0,1,0,171,10d
ps,st_metstr,char,200.0,,200.0,Stellar Metallicity [dex],,dex,,0,0,0,172,200s
