sy_name,sy_snum,sy_pnum,cb_flag,st_rad
Kepler-1224,1,1,0,1.05
Kepler-1370,1,2,0,1.22
70 Vir,1,1,0,
HD 52265,1,1,0,
Kepler-890,1,1,0,0.95
Kepler-1704,1,1,0,1.73
HD 173416,1,1,0,12.81
Kepler-1329,1,1,0,0.69
Kepler-1487,1,2,0,1.63
Kepler-1779,1,1,0,0.8
HD 42618,1,1,0,
HD 216437,1,1,0,1.48
HD 117207,1,1,0,
Kepler-1443,1,1,0,1.54
Kepler-225,1,2,0,0.44
Kepler-198,1,3,0,0.83
tau Cet,1,4,0,0.83
Kepler-1000,1,1,0,1.42
Kepler-160,1,3,0,0.95
HIP 107773,1,1,0,
HD 213240,2,1,0,
HD 178911,3,1,0,
Kepler-206,1,3,0,1.06
Kepler-192,1,3,0,1.02
Kepler-1487,1,2,0,0.96
Kepler-913,1,2,0,0.77
Kepler-120,1,2,0,0.57
Kepler-1028,1,1,0,0.81
HD 125612,2,3,0,
Kepler-401,1,3,0,1.37
Kepler-1565,1,1,0,0.73
Kepler-134,1,2,0,1.53
Kepler-698,1,1,0,0.99
Kepler-169,1,5,0,0.76
Kepler-357,1,3,0,0.82
Kepler-116,1,2,0,1.44
Kepler-1479,1,1,0,0.93
Kepler-1499,1,1,0,0.75
Kepler-1560,1,1,0,0.99
Kepler-1927,1,1,0,0.96
Kepler-664,1,1,0,1.0
Kepler-1032,1,1,0,0.59
Kepler-1294,1,1,0,1.15
Kepler-1621,1,1,0,1.44
Kepler-1473,1,1,0,1.17
Kepler-403,1,3,0,1.06
Kepler-576,1,1,0,0.95
Kepler-1276,1,1,0,1.1
Kepler-109,1,2,0,1.32
Kepler-544,1,1,0,1.22
Kepler-1227,1,1,0,0.9
Kepler-888,1,1,0,1.15
Kepler-1222,1,1,0,0.68
Kepler-916,1,1,0,0.81
Kepler-367,1,2,0,0.7
Kepler-258,1,2,0,0.92
Kepler-908,3,1,0,1.29
Kepler-1186,1,1,0,0.97
Kepler-606,1,1,0,1.23
Kepler-1294,1,1,0,1.8
Kepler-56,1,3,0,4.23
Kepler-1015,1,1,0,1.34
Kepler-238,1,5,0,1.38
Kepler-402,1,4,0,1.22
Kepler-135,1,2,0,1.22
KOI-351,1,8,0,1.2
Kepler-229,1,3,0,0.74
Kepler-885,1,1,0,1.36
Kepler-1129,1,2,0,1.02
Kepler-1104,1,1,0,1.44
Kepler-106,1,4,0,1.03
Kepler-392,1,2,0,1.4
Kepler-1181,1,2,0,1.32
HD 88133,1,1,0,2.03
TOI-262,1,1,0,0.85
Pr0201,1,1,0,1.17
Kepler-714,1,1,0,1.08
Kepler-366,1,2,0,1.03
Kepler-1296,1,1,0,0.98
Kepler-1679,1,1,0,0.9
Kepler-94,1,2,0,0.74
Kepler-1018,1,1,0,1.03
Kepler-372,1,3,0,1.16
Kepler-911,1,1,0,1.88
Kepler-1726,1,1,0,0.88
Kepler-1348,1,1,0,0.8
Kepler-1502,1,1,0,1.16
Kepler-1632,1,1,0,1.51
Kepler-1223,1,1,0,0.8
Kepler-1252,1,1,0,0.82
Kepler-1096,1,1,0,
Kepler-402,1,4,0,1.22
TOI-615,1,1,0,1.7
Kepler-1073,1,3,0,0.83
Kepler-1479,1,1,0,0.98
Kepler-1305,1,1,0,0.9
Kepler-227,1,2,0,1.04
Kepler-902,1,1,0,0.91
Kepler-659,1,1,0,0.69
Kepler-1568,1,1,0,1.29
Kepler-1310,1,1,0,0.78
Kepler-1359,1,1,0,0.83
Kepler-337,1,2,0,1.38
Kepler-1407,1,1,0,1.41
Kepler-1506,1,1,0,1.0
Kepler-1254,1,3,0,0.8
Kepler-1255,1,1,0,0.96
Kepler-1312,1,2,0,0.91
Kepler-928,1,1,0,0.67
Kepler-754,1,1,0,0.97
Kepler-1390,1,1,0,0.79
Kepler-357,1,3,0,0.7
KOI-2513,1,1,0,1.1
Kepler-1633,1,1,0,0.92
Kepler-1983,1,1,0,0.85
Kepler-1789,1,1,0,0.89
Kepler-1258,1,1,0,0.93
Kepler-819,1,1,0,0.76
Kepler-1811,1,1,0,1.19
Kepler-253,1,3,0,0.79
Kepler-199,1,2,0,1.13
Kepler-1465,1,1,0,1.95
Kepler-1673,1,1,0,1.04
Kepler-1533,1,1,0,1.03
Kepler-943,1,1,0,0.82
Kepler-254,1,3,0,0.89
Kepler-140,1,2,0,1.09
Kepler-1941,1,1,0,1.17
Kepler-945,1,1,0,1.03
HD 4113,3,1,0,1.08
HD 13808,1,2,0,0.79
Kepler-1834,1,2,0,0.7
Kepler-1059,1,1,0,0.73
Kepler-1635,1,1,0,0.85
HD 93351,1,2,0,0.91
Kepler-1027,2,1,0,0.82
Kepler-1137,1,1,0,1.78
Kepler-580,1,1,0,0.61
Kepler-1663,1,1,0,0.49
Kepler-1015,1,1,0,1.34
Kepler-976,1,1,0,0.8
Kepler-828,1,1,0,0.73
Kepler-282,1,4,0,0.87
HD 52265,1,1,0,1.32
Kepler-1490,1,1,0,0.74
Kepler-541,1,1,0,1.19
Kepler-1911,1,1,0,1.68
Kepler-1897,1,1,0,0.78
Kepler-982,1,1,0,1.61
Kepler-440,1,1,0,0.53
Kepler-1212,1,1,0,0.94
AB Pic,1,1,0,1.02
Kepler-1546,1,1,0,1.02
Kepler-1236,1,1,0,0.75
Kepler-1416,1,1,0,1.35
Kepler-1947,1,1,0,1.69
Kepler-431,1,3,0,1.68
TOI-2084,2,1,0,0.47
Kepler-392,1,2,0,1.4
Kepler-617,1,1,0,0.54
Kepler-1581,1,1,0,1.23
Kepler-1671,1,1,0,0.93
Kepler-1666,1,2,0,1.03
Kepler-403,1,3,0,1.11
Kepler-164,1,4,0,1.14
Kepler-230,1,2,0,0.8
Kepler-1355,1,1,0,0.81
Kepler-1797,1,1,0,1.01
Kepler-1318,1,1,0,0.59
Kepler-237,1,2,0,0.68
HD 27894,1,3,0,0.85
Kepler-1199,1,1,0,1.05
Kepler-324,1,4,0,0.83
Kepler-307,1,2,0,1.08
HAT-P-11,1,2,0,
Kepler-642,1,1,0,1.16
CoRoT-3,1,1,0,1.53
HD 75289,2,1,0,1.3
Kepler-1781,1,1,0,0.94
Kepler-1609,1,1,0,1.32
Kepler-1425,1,1,0,1.72
Kepler-372,1,3,0,1.21
Kepler-1492,1,1,0,0.62
HD 147018,1,2,0,0.94
Kepler-976,1,1,0,0.81
Kepler-193,1,2,0,1.03
Kepler-891,1,1,0,1.0
Kepler-959,1,1,0,1.66
Kepler-1613,1,1,0,2.03
Kepler-321,1,2,0,1.07
Kepler-115,1,2,0,1.17
Kepler-1755,1,1,0,0.92
Kepler-764,1,1,0,0.89
Kepler-750,1,2,0,1.86
Kepler-269,1,2,0,0.92
Kepler-1738,1,1,0,1.0
Kepler-774,1,1,0,1.97
HD 214823,2,1,0,2.13
Kepler-1380,1,1,0,0.89
Kepler-1368,1,1,0,0.96
Kepler-1010,1,1,0,0.87
HD 190007,1,1,0,0.69
Kepler-793,1,1,0,1.05
Kepler-1246,1,1,0,0.69
16 Cyg,3,1,0,1.08
Kepler-1490,1,1,0,0.74
Kepler-1995,1,1,0,0.93
Kepler-316,1,2,0,0.57
Kepler-239,1,2,0,0.77
Kepler-1176,1,1,0,1.02
HD 156668,1,2,0,0.77
Kepler-742,1,1,0,0.71
Kepler-1019,1,1,0,0.64
HD 95089,1,2,0,4.84
Kepler-224,1,4,0,0.7
Kepler-189,1,2,0,0.8
Kepler-1691,1,1,0,1.14
Kepler-1470,1,1,0,0.71
Kepler-681,1,1,0,0.79
Kepler-810,1,1,0,1.09
HD 49674,1,1,0,1.03
Kepler-1190,1,1,0,0.54
Kepler-374,1,3,0,0.9
Kepler-1333,1,1,0,0.8
Kepler-1889,1,1,0,0.82
Kepler-638,1,1,0,1.35
Kepler-517,2,1,0,0.98
Kepler-204,1,2,0,1.04
Kepler-1148,1,1,0,0.75
Kepler-1742,1,1,0,0.85
Kepler-276,1,3,0,1.03
Kepler-1567,1,1,0,0.9
Kepler-1764,1,1,0,1.14
Kepler-1606,1,1,0,0.95
Kepler-393,1,2,0,1.6
HIP 65407,1,2,0,0.94
Kepler-1101,1,1,0,0.97
HIP 91258,1,1,0,0.89
Kepler-895,1,1,0,0.71
Kepler-781,1,1,0,0.76
Kepler-203,1,3,0,0.94
Kepler-193,1,2,0,1.14
HD 2039,1,1,0,
Kepler-102,1,5,0,0.76
Kepler-285,1,2,0,0.76
Kepler-740,1,1,0,0.86
Kepler-1958,1,1,0,0.85
Kepler-1623,1,1,0,0.9
Kepler-1015,1,1,0,1.39
WASP-50,1,1,0,0.89
XO-2,2,3,0,0.97
HAT-P-16,3,1,0,
Kepler-1185,1,1,0,1.37
Kepler-1673,1,1,0,1.04
Kepler-116,1,2,0,1.44
Kepler-1865,1,1,0,0.87
HD 170469,2,1,0,1.22
Kepler-659,1,1,0,0.7
Kepler-1625,1,1,0,0.94
Kepler-544,1,1,0,1.14
Kepler-829,1,1,0,1.17
Kepler-992,1,1,0,0.76
Kepler-164,1,4,0,1.14
TOI-1420,1,1,0,0.94
Kepler-1329,1,1,0,0.63
Kepler-859,1,1,0,0.71
Kepler-717,1,1,0,0.85
Kepler-1622,1,1,0,1.19
Kepler-935,1,1,0,0.86
HD 8326,1,1,0,
Kepler-133,1,2,0,1.4
Kepler-1300,1,1,0,1.31
HD 130322,1,1,0,
Kepler-97,1,2,0,0.98
Kepler-119,1,2,0,0.83
Kepler-1556,1,1,0,1.01
TOI-2567,1,1,0,1.69
Kepler-1245,1,2,0,0.91
Kepler-250,1,3,0,0.84
Kepler-113,1,2,0,0.71
Kepler-1396,1,1,0,1.03
Kepler-859,1,1,0,0.71
Kepler-1334,1,1,0,0.92
Kepler-551,1,1,0,0.64
Kepler-1249,1,1,0,0.97
Kepler-1518,1,2,0,1.34
Kepler-124,1,3,0,0.66
HD 1605,1,2,0,3.99
OGLE-TR-10,1,1,0,1.49
KOI-3680,1,1,0,1.15
Kepler-1385,1,1,0,0.85
WASP-93,1,1,0,
WASP-11,3,1,0,0.29
FU Tau,1,1,0,
WASP-50,1,1,0,0.84
WASP-8,2,2,0,
Kepler-232,1,2,0,0.93
Kepler-1824,1,1,0,1.08
Kepler-587,1,1,0,0.87
Kepler-743,2,1,0,0.84
Kepler-653,1,2,0,1.19
Kepler-1283,1,1,0,1.25
Kepler-909,1,1,0,1.23
Kepler-338,1,4,0,1.69
Kepler-973,1,1,0,0.74
Kepler-1240,1,1,0,0.91
Kepler-92,1,3,0,1.7
Kepler-1287,1,1,0,0.95
HD 74156,1,2,0,1.48
Kepler-230,1,2,0,0.8
HD 80869,1,1,0,1.53
TOI-2084,2,1,0,0.47
WASP-4,1,1,0,0.91
Kepler-1331,1,1,0,0.62
Kepler-898,1,1,0,0.62
Kepler-1921,1,2,0,2.0
Kepler-1018,1,1,0,0.92
Kepler-217,1,3,0,1.44
Kepler-1736,1,1,0,0.97
Kepler-277,1,2,0,1.57
Kepler-1500,1,1,0,1.0
Kepler-521,1,1,0,1.4
Kepler-311,1,3,0,1.08
Kepler-181,1,2,0,0.76
Kepler-1435,1,1,0,1.32
Kepler-1705,1,2,0,1.19
OGLE-TR-132,1,1,0,1.32
Kepler-1716,1,1,0,0.7
Kepler-1130,2,3,0,0.88
Kepler-707,1,1,0,0.76
HD 45184,1,2,0,
Kepler-760,1,2,0,1.12
Kepler-1991,1,2,0,0.82
Kepler-228,1,3,0,0.97
Kepler-1005,1,1,0,1.1
Kepler-1353,1,1,0,0.8
Kepler-323,1,2,0,1.12
Kepler-790,1,1,0,0.77
Kepler-1232,1,1,0,0.98
Kepler-1087,1,1,0,1.17
Kepler-1016,1,2,0,1.17
Kepler-1939,1,1,0,0.62
Kepler-125,1,2,0,0.49
Kepler-374,1,3,0,0.9
Kepler-1175,1,1,0,0.86
Kepler-303,1,2,0,0.51
Kepler-107,1,4,0,1.4
Kepler-153,1,2,0,0.86
Kepler-853,1,1,0,1.14
Kepler-116,1,2,0,1.17
Kepler-700,1,1,0,1.24
Kepler-911,1,1,0,2.02
Kepler-841,1,1,0,0.72
Kepler-1055,1,1,0,0.83
Kepler-1808,1,1,0,0.89
Kepler-340,1,2,0,1.85
Kepler-203,1,3,0,1.08
Kepler-126,1,3,0,1.3
Kepler-1244,1,1,0,1.48
Kepler-257,1,3,0,0.97
Kepler-654,1,1,0,1.17
Kepler-1574,1,1,0,1.03
Kepler-1890,1,1,0,1.27
Kepler-630,1,1,0,1.04
Kepler-1017,1,1,0,1.33
Kepler-1014,1,1,0,0.79
Kepler-144,1,2,0,1.01
HD 51608,1,2,0,0.92
Kepler-1342,1,1,0,0.9
Kepler-1182,1,1,0,0.91
Kepler-522,1,1,0,1.35
Kepler-566,1,1,0,0.78
Kepler-1514,1,2,0,1.37
Kepler-276,1,3,0,1.03
Kepler-716,1,2,0,0.78
Kepler-462,1,2,0,2.64
Kepler-1738,1,1,0,1.0
Kepler-452,1,1,0,1.11
TOI-663,1,3,0,0.51
WASP-44,1,1,0,0.93
TOI-1107,1,1,0,1.75
Kepler-404,1,2,0,0.86
Kepler-953,1,2,0,1.07
Kepler-1774,1,1,0,1.12
Kepler-1461,1,1,0,0.69
Kepler-1694,1,1,0,0.84
Kepler-346,1,2,0,0.96
Kepler-1032,1,1,0,0.8
Kepler-79,1,4,0,1.04
Kepler-673,1,1,0,0.81
Kepler-1001,1,2,0,0.81
Kepler-1049,1,1,0,0.59
Kepler-825,1,2,0,0.97
Kepler-1005,1,1,0,1.18
HD 95089,1,2,0,4.73
Kepler-281,1,3,0,0.9
Kepler-240,1,2,0,0.77
HD 80606,2,1,0,0.97
WASP-148,1,2,0,0.91
Kepler-220,1,4,0,0.66
Kepler-1848,1,1,0,1.64
Kepler-1750,1,1,0,0.9
Kepler-168,1,2,0,1.11
Kepler-1436,1,1,0,1.09
Kepler-104,2,3,0,1.01
Kepler-1650,1,1,0,0.33
Kepler-904,1,1,0,0.99
Kepler-1527,1,1,0,1.32
Kepler-1639,1,1,0,1.03
Kepler-351,1,3,0,0.84
WASP-50,1,1,0,0.84
Kepler-51,1,3,0,0.91
Kepler-1403,1,1,0,1.22
OGLE-TR-10,1,1,0,1.17
Kepler-227,1,2,0,0.98
HD 23596,2,1,0,1.59
TAP 26,1,1,0,0.92
HD 45350,1,1,0,1.26
Kepler-443,1,1,0,0.75
Kepler-1541,1,1,0,1.53
Kepler-1575,1,1,0,0.97
HD 109749,2,1,0,1.34
HD 4308,1,1,0,1.02
Kepler-504,2,1,0,0.33
Kepler-1438,1,1,0,0.85
Kepler-1164,1,1,0,0.78
Kepler-1126,1,2,0,0.99
HD 144899,1,1,0,1.65
Kepler-1348,1,1,0,0.95
Kepler-274,1,2,0,1.31
Kepler-250,1,3,0,0.76
Kepler-1820,1,1,0,0.93
Kepler-1835,1,1,0,0.96
Kepler-971,1,1,0,0.78
Kepler-1453,1,1,0,0.96
Kepler-1853,1,1,0,0.73
Kepler-1458,1,1,0,0.98
Kepler-271,1,3,0,0.85
Kepler-677,1,1,0,1.88
Kepler-1126,1,2,0,0.92
Kepler-1439,1,1,0,0.38
Kepler-1229,1,1,0,0.41
Kepler-1538,1,1,0,1.1
Kepler-11,1,6,0,1.05
Kepler-1503,1,1,0,0.7
Kepler-247,1,3,0,0.8
Kepler-1290,1,1,0,0.96
Kepler-1069,1,1,0,1.65
Kepler-205,1,2,0,0.55
Kepler-1280,1,1,0,1.32
WASP-4,1,1,0,0.92
TOI-2184,1,1,0,3.15
HD 107148,2,2,0,1.17
KIC 10525077,1,1,0,1.05
Kepler-540,1,1,0,1.25
Kepler-1140,1,1,0,0.73
Kepler-32,1,5,0,0.57
Kepler-277,1,2,0,1.69
Kepler-467,1,1,0,1.48
Kepler-380,1,2,0,1.19
Kepler-487,1,3,0,0.87
Kepler-702,1,1,0,0.79
Kepler-521,1,1,0,1.4
Kepler-50,1,2,0,1.6
Kepler-220,1,4,0,0.58
Kepler-1586,1,1,0,2.11
HD 100546,1,1,0,1.85
Kepler-1765,1,1,0,1.06
Kepler-692,1,1,0,0.86
HD 113538,1,2,0,
Kepler-1347,1,1,0,0.73
Kepler-366,1,2,0,0.92
Kepler-374,1,3,0,
Kepler-1039,1,1,0,1.79
Kepler-1512,1,1,0,0.74
CoRoT-4,1,1,0,1.15
Kepler-694,1,1,0,0.95
Kepler-1464,1,2,0,0.93
Kepler-906,1,1,0,1.05
Kepler-1854,1,1,0,0.76
Kepler-961,1,1,0,1.11
Kepler-1837,1,1,0,0.96
14 And,1,1,0,11.55
Kepler-1640,1,1,0,1.65
Kepler-1525,1,1,0,1.04
Kepler-404,1,2,0,0.86
Kepler-931,1,1,0,0.81
Kepler-709,1,1,0,0.73
HD 33142,1,3,0,4.17
Kepler-1078,1,1,0,0.78
Kepler-1978,1,1,0,
Kepler-1323,1,1,0,1.35
Kepler-194,1,3,0,1.44
Kepler-351,1,3,0,0.76
Kepler-444,3,5,0,0.72
Kepler-1331,1,1,0,0.61
Kepler-180,1,2,0,1.06
HIP 74890,1,1,0,4.45
Kepler-789,1,1,0,
HD 156846,2,1,0,1.9
Kepler-560,2,1,0,0.48
Kepler-1408,1,1,0,
HD 66428,1,2,0,
Kepler-1304,1,1,0,2.89
Kepler-743,2,1,0,0.84
PH1,4,1,1,0.8
HD 90156,1,1,0,
Kepler-385,1,3,0,1.04
Kepler-340,1,2,0,1.47
Kepler-1777,1,1,0,1.97
Kepler-1913,1,1,0,1.08
Kepler-657,1,1,0,1.54
Kepler-961,1,1,0,0.85
Kepler-914,1,1,0,1.15
Kepler-240,1,2,0,0.76
Kepler-533,1,1,0,0.69
Kepler-955,1,1,0,0.86
Kepler-761,1,1,0,1.01
Kepler-9,1,3,0,
HD 50499,1,2,0,1.35
Kepler-122,1,5,0,0.97
Kepler-1691,1,1,0,
Kepler-680,1,1,0,0.87
HD 30177,1,2,0,
Kepler-168,1,2,0,1.02
Kepler-199,1,2,0,1.16
Kepler-1302,1,1,0,0.71
HIP 54597,1,1,0,0.66
Kepler-1997,1,1,0,0.85
Kepler-267,1,3,0,0.54
Kepler-1146,1,1,0,0.71
Kepler-1654,1,1,0,1.11
Kepler-916,1,1,0,0.94
Kepler-691,1,1,0,
Kepler-417,1,2,0,0.77
HD 3651,1,1,0,
Kepler-835,1,1,0,1.42
Kepler-369,1,2,0,
Kepler-386,1,2,0,0.75
Kepler-149,1,3,0,0.83
Kepler-517,2,1,0,1.06
Kepler-368,1,2,0,0.75
HD 39855,1,1,0,
Kepler-1233,1,1,0,1.15
TOI-1431,1,1,0,1.92
Kepler-1732,1,1,0,0.97
Kepler-754,1,1,0,1.08
KOI-142,1,3,0,1.0
Kepler-957,1,1,0,0.69
Kepler-1687,1,1,0,0.55
Kepler-1130,2,3,0,0.84
Kepler-1408,1,1,0,1.65
Kepler-65,1,4,0,1.2
Kepler-778,1,1,0,0.79
Kepler-55,1,5,0,0.66
HD 37124,1,3,0,
HD 238914,1,1,0,
Kepler-77,1,1,0,0.99
Kepler-1672,1,1,0,1.38
Kepler-1074,1,1,0,0.52
Kepler-1839,1,1,0,
Kepler-125,1,2,0,0.53
Kepler-859,1,1,0,0.71
Kepler-1127,1,1,0,0.54
Kepler-1722,1,1,0,
Kepler-84,1,5,0,1.03
Kepler-487,1,3,0,0.89
HD 74156,1,2,0,
Kepler-317,1,2,0,
Kepler-1875,1,1,0,1.02
Kepler-534,1,2,0,1.04
Kepler-667,1,1,0,2.37
Kepler-100,1,4,0,1.49
Kepler-1196,1,1,0,0.98
Kepler-1097,1,1,0,
Kepler-1381,1,1,0,0.9
Kepler-165,1,2,0,0.86
Kepler-1136,1,1,0,0.65
HD 190007,1,1,0,
Kepler-703,1,1,0,0.88
Kepler-264,1,2,0,
Kepler-126,1,3,0,1.4
Kepler-1244,1,1,0,1.93
Kepler-1115,1,1,0,2.2
Kepler-1243,1,1,0,0.83
Kepler-688,1,1,0,0.78
Kepler-140,1,2,0,1.06
Kepler-722,1,2,0,1.0
Kepler-1168,1,1,0,0.68
HD 89307,1,1,0,1.09
Kepler-1356,1,1,0,0.74
HD 10442,1,1,0,1.97
HD 136418,1,1,0,3.4
HD 21411,1,1,0,
Kepler-241,1,2,0,
Kepler-259,1,2,0,0.8
Kepler-828,1,1,0,0.74
Kepler-229,1,3,0,
Kepler-1949,1,1,0,0.99
Kepler-1077,1,1,0,0.92
Kepler-830,1,1,0,1.09
Kepler-1179,1,1,0,0.83
Kepler-534,1,2,0,2.09
Kepler-953,1,2,0,1.0
Kepler-1795,1,1,0,0.69
HD 147873,2,2,0,2.45
Kepler-75,1,1,0,0.84
Kepler-1933,1,1,0,1.92
Kepler-1173,1,1,0,0.82
Kepler-269,1,2,0,
Kepler-793,1,1,0,0.99
tau Cet,1,4,0,
BD-210397,1,2,0,
Kepler-1177,1,1,0,1.0
Kepler-1885,1,1,0,0.8
Kepler-913,1,2,0,0.77
Kepler-1383,1,1,0,1.3
Kepler-1417,1,1,0,1.0
Kepler-356,1,2,0,1.19
HD 7199,1,1,0,
Kepler-68,2,4,0,1.24
XO-7,1,1,0,1.53
HIP 35173,1,1,0,0.8
Kepler-1362,1,1,0,0.69
Kepler-45,1,1,0,0.55
Kepler-865,1,2,0,0.89
HD 92788,1,2,0,
Kepler-920,1,2,0,0.95
Kepler-1991,1,2,0,0.83
Kepler-1579,1,1,0,0.7
Kepler-99,2,1,0,0.77
Kepler-87,1,2,0,1.29
Kepler-1372,1,1,0,0.96
Kepler-884,1,1,0,1.06
CoRoT-10,1,1,0,0.74
Kepler-1146,1,1,0,0.76
Kepler-822,1,1,0,
Kepler-537,1,1,0,0.96
Kepler-1304,1,1,0,1.07
Kepler-758,1,4,0,1.35
eps Eri,1,1,0,
Kepler-1366,1,1,0,
Kepler-1241,1,1,0,
Kepler-870,1,1,0,
Kepler-1372,1,1,0,0.96
Kepler-188,1,2,0,1.07
Kepler-1804,1,1,0,1.67
Kepler-369,1,2,0,0.48
Kepler-252,1,2,0,0.5
Kepler-242,1,2,0,0.83
Kepler-605,1,2,0,0.82
Kepler-604,1,1,0,0.96
Kepler-1247,1,1,0,0.83
Kepler-826,1,1,0,0.8
Kepler-274,1,2,0,1.01
Kepler-1586,1,1,0,1.18
Kepler-1414,1,1,0,0.75
Kepler-1984,1,1,0,0.52
Kepler-1632,1,1,0,1.29
Kepler-1250,1,1,0,0.98
Kepler-1930,1,1,0,0.84
Kepler-1818,1,1,0,1.08
Kepler-676,1,1,0,0.54
Kepler-238,1,5,0,
Kepler-298,1,3,0,0.54
Kepler-851,1,1,0,
Kepler-245,1,4,0,0.8
rho CrB,1,4,0,
Kepler-369,1,2,0,0.52
Kepler-541,1,1,0,1.12
Kepler-473,1,1,0,1.9
Kepler-1026,1,1,0,0.77
Kepler-1856,1,1,0,0.67
Kepler-1709,1,1,0,1.04
Kepler-604,1,1,0,0.91
HD 7449,2,1,0,
HN Peg,1,1,0,
Kepler-595,1,2,0,
Kepler-296,2,5,0,0.52
HIP 103768,1,1,0,0.66
Kepler-1104,1,1,0,1.47
Kepler-224,1,4,0,0.7
HD 93385,1,3,0,
Kepler-336,1,3,0,0.96
Kepler-8,1,1,0,1.56
Kepler-317,1,2,0,0.86
KOI-1783,1,2,0,0.93
Kepler-1954,1,1,0,0.85
Kepler-1337,1,1,0,0.68
Kepler-1145,1,1,0,0.73
Kepler-169,1,5,0,
Kepler-204,1,2,0,
Kepler-122,1,5,0,
Kepler-194,1,3,0,
Kepler-686,1,1,0,
Kepler-197,2,4,0,1.18
Kepler-678,1,1,0,0.66
HD 45350,1,1,0,
TOI-132,1,1,0,0.94
HIP 104436,1,1,0,
GJ 514,1,1,0,0.51
Kepler-251,1,4,0,0.87
Kepler-1132,1,1,0,0.81
Kepler-1573,1,1,0,
Kepler-1741,1,1,0,0.46
Kepler-637,1,1,0,1.46
Kepler-33,1,5,0,1.82
Kepler-340,1,2,0,1.85
Kepler-1026,1,1,0,0.7
Kepler-489,1,1,0,0.74
Kepler-550,1,1,0,0.81
Kepler-1311,1,3,0,
Kepler-800,1,1,0,0.81
Kepler-368,1,2,0,2.02
Kepler-833,1,1,0,0.73
Kepler-1067,1,2,0,0.83
Kepler-261,1,2,0,0.77
HD 221287,1,1,0,
Kepler-426,1,1,0,0.9
HD 141937,1,1,0,
Kepler-1473,1,1,0,
HATS-37,2,1,0,0.88
Kepler-1824,1,1,0,
HD 45364,1,2,0,0.89
Kepler-424,1,2,0,0.94
HD 219139,1,1,0,10.39
HIP 8541,2,2,0,
Kepler-1335,1,1,0,0.86
TOI-1338,2,2,1,1.31
TOI-663,1,3,0,0.51
Kepler-974,1,1,0,0.54
Kepler-756,1,1,0,0.8
HD 181433,1,3,0,0.83
Kepler-1977,1,1,0,
Kepler-59,1,2,0,1.37
Kepler-707,1,1,0,0.72
Kepler-736,1,1,0,0.74
Kepler-238,1,5,0,0.91
Kepler-403,1,3,0,1.84
Kepler-907,1,1,0,1.33
Kepler-1189,1,1,0,1.1
Kepler-367,1,2,0,0.65
Kepler-621,1,1,0,
HD 8535,2,1,0,1.38
Kapteyn,1,1,0,
GJ 3988,1,1,0,0.22
HIP 64797 A,1,2,0,0.79
HD 179949,1,1,0,
Kepler-294,1,2,0,0.9
Kepler-288,1,3,0,
Kepler-726,1,1,0,0.72
Kepler-501,1,2,0,0.99
Kepler-599,1,1,0,0.78
HD 154088,1,1,0,
Kepler-1485,1,1,0,1.28
HD 113538,1,2,0,
Kepler-1295,1,1,0,0.79
Kepler-693,2,1,0,0.88
Kepler-1025,1,1,0,1.23
KOI-142,1,3,0,
Kepler-201,1,2,0,1.27
HD 66141,1,1,0,
Kepler-1667,1,1,0,
Kepler-875,1,1,0,0.88
Kepler-1391,1,1,0,0.9
Kepler-265,1,4,0,1.1
Kepler-1007,1,1,0,0.7
Kepler-218,1,3,0,
Kepler-782,1,1,0,1.09
Kepler-1229,1,1,0,0.57
Kepler-114,1,3,0,0.65
Kepler-590,1,1,0,1.72
GJ 3090,1,1,0,0.52
Kepler-74,1,1,0,1.44
Kepler-216,1,2,0,1.63
KOI-7913,2,1,0,0.79
Kepler-1047,1,2,0,0.99
Kepler-601,1,1,0,0.7
TOI-942,3,2,0,0.41
HD 69830,1,3,0,0.86
Kepler-761,1,1,0,0.83
Kepler-1468,1,3,0,2.0
Kepler-1326,1,1,0,1.18
HD 210277,1,1,0,
Kepler-487,1,3,0,0.87
Kepler-543,1,1,0,0.6
Kepler-793,1,1,0,0.99
Kepler-1682,1,1,0,0.94
Kepler-890,1,1,0,1.04
Kepler-241,1,2,0,0.69
Kepler-600,1,1,0,0.59
HD 183263,1,2,0,
Kepler-571,1,1,0,0.85
HD 50499,1,2,0,
Kepler-1034,1,1,0,0.87
Kepler-732,1,2,0,0.5
Kepler-255,1,3,0,
TOI-663,1,3,0,0.51
Kepler-1361,1,1,0,0.8
Kepler-1575,1,1,0,
Kepler-741,1,1,0,1.03
HD 73526,1,2,0,
Kepler-725,1,1,0,0.85
Kepler-792,1,1,0,1.33
Kepler-1471,1,2,0,0.85
Kepler-615,1,1,0,0.78
GJ 1061,1,3,0,
HD 101930,2,1,0,0.88
Kepler-1753,1,1,0,0.73
Kepler-192,1,3,0,0.81
Kepler-1047,1,2,0,
Kepler-49,1,4,0,0.56
LTT 1445,3,2,0,0.27
Kepler-1550,1,1,0,1.36
Kepler-1477,1,1,0,0.8
Kepler-367,1,2,0,0.72
HD 216770,1,1,0,0.86
Kepler-1162,1,2,0,0.81
Kepler-1081,1,1,0,
Kepler-563,1,1,0,0.9
Kepler-1358,1,1,0,0.86
HD 143361,1,1,0,
GJ 143,1,2,0,
Kepler-279,1,3,0,1.04
Kepler-677,1,1,0,0.99
HIP 109384,1,1,0,
Kepler-1549,1,1,0,0.88
