sy_name,sy_snum,sy_pnum,cb_flag,st_rad
Kepler-879,1,1,0,0.99
Kepler-1039,1,1,0,0.76
CoRoT-16,1,1,0,1.19
HD 130322,1,1,0,0.9
Kepler-788,1,1,0,1.06
Kepler-1210,1,1,0,0.93
Kepler-1667,1,1,0,1.4
Kepler-619,1,3,0,
Kepler-1737,1,1,0,0.84
Kepler-326,1,3,0,1.66
Kepler-1159,1,1,0,
Kepler-276,1,3,0,0.95
KOI-217,1,1,0,0.71
Kepler-704,1,1,0,0.98
Kepler-218,1,3,0,1.06
Kepler-1378,1,1,0,0.65
Kepler-794,1,1,0,1.67
Kepler-452,1,1,0,0.79
HD 165155,1,1,0,0.95
HD 83443,1,2,0,
Kepler-29,1,2,0,0.87
Kepler-1690,1,1,0,0.86
Kepler-1837,1,1,0,0.9
Kepler-1854,1,1,0,0.65
ROXs 42,2,1,1,
Kepler-1853,1,1,0,0.71
HD 207496,1,1,0,
Kepler-1688,1,1,0,
Kepler-868,1,1,0,0.92
Kepler-1733,1,1,0,1.03
HD 106515,2,1,0,
DP Leo,2,1,1,
HD 50499,1,2,0,1.42
Kepler-578,1,1,0,
Kepler-472,1,1,0,0.78
Kepler-697,1,1,0,0.63
Kepler-542,1,1,0,0.91
HD 19994,3,1,0,
Kepler-1167,1,1,0,0.69
Kepler-1377,1,1,0,0.93
Kepler-1602,1,1,0,1.09
Kepler-866,1,1,0,0.68
HD 141937,1,1,0,
HD 216435,1,1,0,
Kepler-300,1,2,0,1.4
Kepler-548,1,1,0,0.86
Kepler-676,1,1,0,0.79
HD 178911,3,1,0,1.36
Kepler-62,1,5,0,0.65
Kepler-409,1,1,0,0.9
Kepler-222,1,3,0,0.84
51 Peg,1,1,0,
Kepler-1728,1,1,0,0.79
Kepler-423,1,1,0,0.93
Kepler-113,1,2,0,0.95
HD 152079,1,1,0,
Kepler-1282,1,1,0,0.96
Kepler-1312,1,2,0,0.95
HD 43691,3,1,0,
Kepler-327,1,3,0,0.53
Kepler-1433,1,1,0,
Kepler-633,1,2,0,1.55
Kepler-1676,1,1,0,1.0
Kepler-79,1,4,0,1.1
HD 99109,1,1,0,
KMT-2019-BLG-1806L,1,1,0,
LTT 3780,2,2,0,0.37
LTT 3780,2,2,0,0.17
LTT 3780,2,2,0,0.37
HD 102117,1,1,0,1.21
LTT 3780,2,2,0,0.38
OGLE-2018-BLG-1647L,1,1,0,
GJ 3021,2,1,0,
LTT 3780,2,2,0,0.37
LTT 3780,2,2,0,
LTT 3780,2,2,0,0.38
LTT 3780,2,2,0,0.37
KMT-2021-BLG-0171L,1,1,0,
KMT-2021-BLG-0171L,1,1,0,
Kepler-1151,1,1,0,0.78
Kepler-1081,1,1,0,0.84
Kepler-1771,1,1,0,0.87
Kepler-1433,1,1,0,1.15
HD 14787,1,1,0,5.18
Kepler-565,1,1,0,0.84
Kepler-231,1,2,0,0.49
Kepler-142,1,3,0,1.14
Kepler-275,1,3,0,1.44
KMT-2019-BLG-0414L,1,1,0,
HD 23079,1,1,0,1.07
HD 16175,1,1,0,1.63
KMT-2018-BLG-0885L,1,1,0,
HIP 74890,1,1,0,
16 Cyg,3,1,0,
Kepler-1813,1,1,0,0.72
TOI-763,1,2,0,0.9
Kepler-371,1,2,0,
Kepler-405,1,2,0,0.87
Kepler-1351,1,1,0,0.56
Kepler-934,1,1,0,0.76
Kepler-82,1,5,0,0.9
Kepler-381,1,3,0,1.47
Kepler-216,1,2,0,
Kepler-1807,1,1,0,1.65
Kepler-107,1,4,0,
Kepler-1666,1,2,0,1.03
Kepler-1987,1,4,0,
Kepler-998,1,1,0,0.91
Kepler-579,1,1,0,0.77
CoRoT-16,1,1,0,1.24
Kepler-520,1,2,0,
Kepler-1258,1,1,0,1.12
tau Boo,2,1,0,1.44
Kepler-654,1,1,0,1.56
GJ 86,2,1,0,
Kepler-783,1,2,0,0.86
Kepler-497,1,1,0,1.08
Kepler-656,1,2,0,0.89
Kepler-1076,1,1,0,0.5
HD 12661,1,2,0,1.21
Kepler-1160,1,1,0,0.63
Kepler-1430,1,1,0,0.55
Kepler-197,2,4,0,1.12
Kepler-1200,1,1,0,
Kepler-1399,1,1,0,1.15
Kepler-836,1,1,0,0.97
Kepler-454,2,3,0,1.08
Kepler-887,1,2,0,1.3
TOI-2158,1,1,0,1.5
Kepler-1470,1,1,0,0.81
HD 21693,1,2,0,
MOA-2013-BLG-605L,1,1,0,
Kepler-1027,2,1,0,1.71
Kepler-319,1,3,0,
Kepler-907,1,1,0,
Kepler-1664,1,1,0,
Kepler-1667,1,1,0,1.4
Kepler-879,1,1,0,1.07
Kepler-1249,1,1,0,0.88
Kepler-1559,1,1,0,
HN Lib,1,1,0,
Kepler-80,1,6,0,0.65
Kepler-1284,1,1,0,0.71
MOA-2019-BLG-008L,1,1,0,
Kepler-32,1,5,0,0.57
Kepler-249,1,3,0,0.42
Kepler-666,1,1,0,0.97
KMT-2019-BLG-0842L,1,1,0,
Kepler-374,1,3,0,1.38
Kepler-1897,1,1,0,0.71
Kepler-214,1,2,0,1.07
Kepler-551,1,1,0,0.64
Kepler-672,1,1,0,
Kepler-140,1,2,0,1.06
Kepler-376,1,2,0,
Kepler-1946,1,1,0,0.92
Kepler-1021,1,1,0,0.77
Kepler-1590,1,1,0,
Kepler-25,2,3,0,1.31
HD 156846,2,1,0,
Kepler-392,1,2,0,
Kepler-405,1,2,0,0.83
Kepler-244,1,3,0,0.8
Kepler-1569,1,1,0,1.32
Kepler-1362,1,1,0,0.67
HD 45364,1,2,0,
Kepler-214,1,2,0,1.63
Kepler-1798,1,1,0,0.54
Kepler-930,1,1,0,1.38
Kepler-987,1,1,0,0.91
OGLE-2018-BLG-1700L,2,1,1,
HD 196885,2,1,0,
Kepler-1521,1,1,0,1.95
Kepler-1477,1,1,0,
Kepler-1197,1,1,0,0.68
Kepler-870,1,1,0,0.99
Kepler-1733,1,1,0,1.03
HD 89744,2,1,0,
Kepler-149,1,3,0,1.4
HD 190360,2,2,0,
Kepler-373,1,2,0,0.8
Kepler-201,1,2,0,
Kepler-612,1,1,0,1.68
16 Cyg,3,1,0,
Kepler-214,1,2,0,0.98
Kepler-1504,1,1,0,0.9
Kepler-586,1,1,0,1.02
Kepler-775,1,1,0,0.88
Kepler-505,1,1,0,0.51
Kepler-643,1,1,0,2.69
Kepler-977,1,1,0,0.82
Kepler-1717,1,1,0,
Kepler-947,1,1,0,0.83
Kepler-969,1,2,0,0.84
Kepler-1075,1,1,0,0.59
Kepler-1761,1,1,0,0.52
Kepler-656,1,2,0,0.78
Kepler-1977,1,1,0,0.62
Kepler-80,1,6,0,
HD 117207,1,1,0,
Kepler-1061,1,1,0,1.0
HD 190228,1,1,0,2.59
Kepler-1349,1,1,0,1.47
Kepler-1429,1,1,0,1.03
Kepler-1423,1,1,0,
Kepler-1889,1,1,0,
Kepler-1729,1,1,0,0.8
HD 195019,2,1,0,1.56
GJ 463,1,1,0,
70 Vir,1,1,0,
rho CrB,1,4,0,
Wolf 1061,1,3,0,0.32
NN Ser,2,2,1,
Kepler-279,1,3,0,1.03
TOI-1181,1,1,0,1.93
TOI-954,1,1,0,1.89
Kepler-226,1,3,0,0.81
Kepler-1802,1,2,0,0.57
Kepler-337,1,2,0,1.82
Kepler-1623,1,1,0,
Kepler-75,1,1,0,
Kepler-718,1,1,0,1.08
HD 19994,3,1,0,
Kepler-372,1,3,0,1.29
Kepler-1142,1,1,0,1.78
Kepler-823,1,1,0,1.11
HD 129445,1,1,0,
Kepler-419,1,2,0,1.39
Kepler-941,1,1,0,
HD 187085,1,1,0,
Kepler-1133,1,1,0,0.83
Kepler-313,1,2,0,1.07
HD 207496,1,1,0,
Kepler-150,1,5,0,
GJ 687,1,2,0,
Kepler-401,1,3,0,1.29
Kepler-1114,1,1,0,0.83
Kepler-788,1,1,0,
Kepler-1537,1,1,0,1.37
Kepler-181,1,2,0,0.73
Kepler-434,1,1,0,1.35
HIP 13642 A,1,2,0,
Kepler-122,1,5,0,0.95
Kepler-1322,1,2,0,
HD 190360,2,2,0,
Kepler-1458,1,1,0,
Kepler-244,1,3,0,
Kepler-349,1,2,0,0.87
HD 47186,1,2,0,
HD 224538,1,1,0,1.54
HD 141937,1,1,0,
Kepler-476,1,1,0,1.01
Kepler-1398,1,2,0,1.05
Kepler-1881,1,1,0,0.77
Kepler-1742,1,1,0,
Kepler-379,1,2,0,1.14
PH1,4,1,1,1.73
Kepler-1776,1,1,0,1.0
Kepler-712,1,2,0,0.75
Kepler-1664,1,1,0,1.18
Kepler-1781,1,1,0,0.81
Kepler-196,1,3,0,0.83
Kepler-1594,1,1,0,0.96
HD 18742,1,1,0,
Kepler-1212,1,1,0,
HD 180314,1,1,0,8.13
Kepler-1350,1,2,0,0.53
Kepler-182,1,2,0,1.23
HD 216520,1,2,0,
Ross 458,2,1,1,0.63
HD 152079,1,1,0,
HD 15906,1,2,0,0.76
Kepler-112,1,2,0,0.96
Kepler-1641,1,2,0,
Kepler-952,1,1,0,1.0
Kepler-219,1,3,0,1.31
BD+48 738,1,1,0,33.38
Kepler-1132,1,1,0,
Kepler-646,1,1,0,0.83
Kepler-1209,1,1,0,1.28
HD 222155,1,1,0,
Kepler-889,1,1,0,1.47
Kepler-1848,1,1,0,0.81
HD 196050,3,1,0,
Kepler-520,1,2,0,
Kepler-62,1,5,0,
HD 22532,1,1,0,5.69
HD 106906,1,1,0,
Kepler-107,1,4,0,1.41
Kepler-815,1,1,0,3.55
Kepler-816,1,1,0,0.74
Kepler-973,1,1,0,0.88
Kepler-1078,1,1,0,0.78
TOI-1194,1,1,0,0.99
TOI-2152,3,1,0,1.73
Kepler-1002,1,1,0,1.56
HD 116029,2,2,0,
Kepler-1992,1,1,0,0.95
Kepler-365,1,2,0,1.03
Kepler-1681,1,1,0,0.88
OGLE-2018-BLG-1011L,1,2,0,
Kepler-741,1,1,0,1.24
MOA-2013-BLG-220L,1,1,0,
Kepler-981,1,1,0,0.96
Kepler-79,1,4,0,0.99
Kepler-228,1,3,0,1.15
Kepler-905,1,1,0,0.94
Kepler-92,1,3,0,1.53
Kepler-1063,2,1,0,0.87
Kepler-156,1,2,0,0.76
Kepler-1979,1,1,0,0.89
HIP 15799,2,1,0,
Kepler-946,1,1,0,0.93
Kepler-350,1,3,0,1.42
MOA-2019-BLG-008L,1,1,0,
MOA-2012-BLG-505L,1,1,0,
OGLE-2018-BLG-0506L,1,1,0,
Kepler-794,1,1,0,1.19
Kepler-336,1,3,0,1.27
Kepler-1607,1,1,0,1.21
Kepler-56,1,3,0,4.23
Kepler-135,1,2,0,1.19
Kepler-414,1,2,0,0.93
Kepler-1682,1,1,0,
Kepler-1595,1,1,0,0.79
Kepler-863,1,1,0,0.95
Kepler-1031,1,1,0,0.99
Kepler-365,1,2,0,
HD 70642,1,1,0,
alf Ari,1,1,0,15.21
Kepler-428,1,1,0,0.73
Ross 458,2,1,1,
KMT-2021-BLG-1770L,1,1,0,
Kepler-515,2,1,0,
OGLE-2018-BLG-0567L,1,1,0,
OGLE-2016-BLG-0613L,2,1,1,
HD 143361,1,1,0,
OGLE-2019-BLG-1470L,2,1,1,
Kepler-370,1,2,0,1.13
BD+15 2375,1,1,0,8.95
OGLE-2012-BLG-0724L,1,1,0,
Kepler-1172,1,1,0,0.86
HD 41004,2,2,0,1.06
OGLE-2016-BLG-0613L,2,1,1,
HD 39855,1,1,0,
OGLE-2018-BLG-0799L,1,1,0,
HD 128311,1,2,0,
PSR J1719-1438,1,1,0,
Kepler-361,1,2,0,1.27
OGLE-2017-BLG-1099L,1,1,0,
Kepler-1004,1,1,0,3.55
alf Cen,3,1,0,
Kepler-1519,1,1,0,0.93
Kepler-14,2,1,0,2.08
Kepler-117,1,2,0,1.01
HD 68988,1,2,0,1.26
PH1,4,1,0,
Kepler-1512,1,1,0,
Kepler-984,1,1,0,1.35
Kepler-69,1,2,0,0.94
OGLE-2018-BLG-1185L,1,1,0,
Kepler-132,2,4,0,1.04
HD 60532,1,2,0,
Kepler-81,1,3,0,0.59
Kepler-29,1,2,0,0.96
OGLE-2012-BLG-0950L,1,1,0,
HIP 15799,2,1,0,0.98
HD 11755,1,1,0,27.3
Kepler-1443,1,1,0,1.15
Kepler-320,1,2,0,0.95
KIC 3558849,1,1,0,1.54
OGLE-2013-BLG-0341L,2,1,0,
MOA-2009-BLG-387L,1,1,0,
GJ 411,1,2,0,0.39
OGLE-2007-BLG-368L,1,1,0,
Kepler-347,1,3,0,1.45
Kepler-1813,1,1,0,0.75
Kepler-212,1,2,0,1.16
Kepler-1922,1,1,0,0.86
Kepler-923,1,1,0,1.03
Kepler-926,1,1,0,0.75
Kepler-1001,1,2,0,0.84
KOI-3503,1,2,0,1.31
OGLE-2019-BLG-1053L,1,1,0,
Kepler-1359,1,1,0,0.7
Kepler-799,1,2,0,0.96
OGLE-2017-BLG-0406L,1,1,0,
HD 41004,2,2,0,0.85
Kepler-1964,1,1,0,0.7
Kepler-365,1,2,0,1.03
PDS 70,1,2,0,1.19
2MASS J12073346-3932539,1,1,0,0.22
Kepler-1370,1,2,0,1.46
OGLE-2018-BLG-0516L,1,1,0,
HD 167677,1,1,0,
Kepler-352,1,3,0,0.72
61 Vir,1,3,0,
Kepler-383,1,2,0,
Kepler-245,1,4,0,0.8
Kepler-1544,1,1,0,0.71
HD 195019,2,1,0,
Kepler-565,1,1,0,0.87
HD 141004,1,1,0,
Kepler-365,1,2,0,1.01
Kepler-365,1,2,0,1.02
Kepler-1617,1,1,0,1.38
OGLE-2015-BLG-1771L,1,1,0,
Kepler-1964,1,1,0,0.71
Kepler-547,1,1,0,0.83
KMT-2018-BLG-1990L,1,1,0,
Kepler-1045,1,1,0,0.68
HD 156846,2,1,0,
Kepler-626,1,1,0,1.29
Kepler-884,1,1,0,1.03
Kepler-1897,1,1,0,0.86
HD 114783,1,2,0,
Kepler-1784,1,1,0,0.88
HD 185269,3,1,0,
Kepler-1079,1,1,0,2.43
OGLE-2018-BLG-1126L,1,1,0,
Kepler-633,1,2,0,1.55
KMT-2018-BLG-0087L,1,1,0,
Kepler-1483,1,1,0,1.01
Kepler-132,2,4,0,1.54
HD 210193,1,1,0,1.03
Kepler-1031,1,1,0,
Kepler-633,1,2,0,1.44
HN Lib,1,1,0,
HD 142022,2,1,0,
OGLE-2018-BLG-1212L,1,1,0,
Kepler-106,1,4,0,1.03
GJ 667,3,5,0,
OGLE-2019-BLG-0954L,1,1,0,
HD 208527,1,1,0,
Kepler-92,1,3,0,1.78
Kepler-937,1,2,0,1.08
Kepler-591,1,1,0,
Kepler-589,1,2,0,0.78
HD 196050,3,1,0,1.31
Kepler-450,1,3,0,1.3
KMT-2019-BLG-1339L,1,1,0,
HD 62509,1,1,0,
GJ 411,1,2,0,
Kepler-272,1,3,0,0.83
Kepler-147,1,2,0,1.55
HD 196050,3,1,0,1.42
Kepler-598,1,2,0,0.9
Kepler-674,1,1,0,0.61
Kepler-1516,1,1,0,0.99
alf Tau,2,1,0,
Kepler-344,1,2,0,0.93
Kepler-672,1,1,0,0.97
Kepler-749,1,1,0,0.79
Kepler-132,2,4,0,
Kepler-154,1,5,0,0.97
Kepler-732,1,2,0,0.44
Kepler-316,1,2,0,0.51
Kepler-1184,1,1,0,0.9
HD 213240,2,1,0,1.51
HIP 79431,1,1,0,0.54
Kepler-1711,1,1,0,1.1
Kepler-549,1,3,0,0.85
OGLE-2019-BLG-0960L,1,1,0,
Kepler-36,1,2,0,1.61
OGLE-2013-BLG-0341L,2,1,0,
KMT-2021-BLG-1689L,1,1,0,
Kepler-1504,1,1,0,1.43
Kepler-500,1,1,0,0.94
Kepler-794,1,1,0,1.65
Kepler-24,1,4,0,1.09
Kepler-85,1,4,0,0.83
HD 221416,1,1,0,2.9
BD+20 274,1,1,0,43.41
Kepler-1331,1,1,0,
MOA-2019-BLG-008L,1,1,0,
Kepler-1676,1,1,0,0.88
Kepler-712,1,2,0,0.72
HD 121504,1,1,0,1.07
Kepler-932,1,1,0,0.83
OGLE-2016-BLG-1195L,1,1,0,
Kepler-87,1,2,0,1.29
Kepler-42,1,3,0,0.56
Kepler-496,1,1,0,
Kepler-509,1,1,0,1.15
Kepler-1337,1,1,0,0.62
HD 197037,2,1,0,
Kepler-308,1,2,0,0.94
Kepler-970,2,1,0,0.64
Kepler-1018,1,1,0,1.02
OGLE-2018-BLG-1269L,1,1,0,
