sy_name,sy_snum,sy_pnum
HAT-P-46,1,1
HAT-P-49,1,1
HAT-P-5,1,1
HAT-P-50,1,1
HAT-P-51,1,1
HAT-P-52,1,1
HAT-P-53,1,1
HAT-P-54,1,1
HAT-P-55,1,1
HAT-P-56,1,1
HAT-P-57,3,1
HAT-P-58,1,1
HAT-P-59,1,1
HAT-P-6,1,1
HAT-P-60,1,1
HAT-P-61,1,1
HAT-P-62,1,1
HAT-P-63,1,1
HAT-P-64,1,1
HAT-P-65,1,1
HAT-P-66,1,1
HAT-P-67,2,1
HAT-P-68,1,1
HAT-P-69,1,1
HAT-P-7,2,1
HAT-P-70,1,1
HAT-P-8,3,1
HAT-P-9,1,1
HATS-1,1,1
HATS-10,1,1
HATS-11,1,1
HATS-12,1,1
HATS-13,1,1
HATS-14,1,1
HATS-15,1,1
HATS-16,1,1
HATS-17,1,1
HATS-18,1,1
HATS-2,1,1
HATS-22,1,1
HATS-23,1,1
HATS-24,1,1
HATS-25,1,1
HATS-26,1,1
HATS-27,1,1
HATS-28,1,1
HATS-29,1,1
HATS-3,1,1
HATS-30,2,1
HATS-31,1,1
HATS-32,1,1
HATS-33,1,1
HATS-34,1,1
HATS-35,1,1
HATS-36,1,1
HATS-37,2,1
HATS-38,1,1
HATS-39,1,1
HATS-4,1,1
HATS-40,1,1
HATS-41,1,1
HATS-42,1,1
HATS-43,1,1
HATS-44,1,1
HATS-45,1,1
HATS-46,1,1
HATS-47,1,1
HATS-48,2,1
HATS-49,1,1
HATS-5,1,1
HATS-50,1,1
HATS-51,1,1
HATS-52,1,1
HATS-53,1,1
HATS-54,1,1
HATS-55,1,1
HATS-56,1,1
HATS-57,1,1
HATS-58,2,1
HATS-59,1,2
HATS-6,1,1
HATS-60,1,1
HATS-61,1,1
HATS-62,1,1
HATS-63,1,1
HATS-64,1,1
HATS-65,2,1
HATS-66,1,1
HATS-67,1,1
HATS-68,1,1
HATS-69,1,1
HATS-7,1,1
HATS-70,1,1
HATS-71,1,1
HATS-72,1,1
HATS-74,2,1
HATS-75,1,1
HATS-76,1,1
HATS-77,1,1
HATS-8,1,1
HATS-9,1,1
HD 100546,1,1
HD 100655,2,1
HD 100777,1,1
HD 10180,1,6
HD 101930,2,1
HD 102117,1,1
HD 102195,1,1
HD 102272,1,1
HD 102329,1,2
HD 102365,2,1
HD 102843,1,1
HD 102956,2,1
HD 103197,1,1
HD 103720,1,1
HD 103774,2,1
HD 103891,1,1
HD 103949,1,1
HD 104067,1,2
HD 10442,1,1
HD 104985,1,1
HD 105618,1,2
HD 105779,1,1
HD 106252,1,1
HD 106270,1,1
HD 106315,1,2
HD 10647,1,1
HD 106515,2,1
HD 106906,1,1
HD 10697,1,1
HD 107148,2,2
HD 108147,1,1
HD 108202,1,1
HD 108236,1,5
HD 108341,2,1
HD 108863,1,1
HD 108874,1,2
HD 109246,1,1
HD 109271,1,2
HD 109286,1,1
HD 109749,2,1
HD 10975,1,1
HD 109833,1,2
HD 109988,1,1
HD 110014,1,1
HD 110067,3,6
HD 110082,2,1
HD 110113,1,2
HD 11112,1,1
HD 111232,1,2
HD 111591,1,1
HD 111998,1,1
HD 112300,1,1
HD 112570,1,1
HD 112640,1,1
HD 113337,1,2
HD 113538,1,2
HD 113996,2,1
HD 114082,1,1
HD 114386,1,1
HD 114729,2,1
HD 114783,1,2
HD 11505,1,1
HD 11506,1,3
HD 115954,1,1
HD 116029,2,2
HD 117207,1,1
HD 11755,1,1
HD 117618,1,1
HD 118203,1,2
HD 11964,2,2
HD 11977,1,1
HD 120084,1,1
HD 121504,1,1
HD 12235,1,2
HD 122562,1,1
HD 124330,1,1
HD 12484,1,1
HD 125271,1,1
HD 125390,1,1
HD 125595,1,1
HD 125612,2,3
HD 12648,1,1
HD 126525,1,1
HD 12661,1,2
HD 126614,3,1
HD 128311,1,2
HD 128356,1,1
HD 129445,1,1
HD 130322,1,1
HD 131496,1,1
HD 13167,1,1
HD 13189,1,1
HD 132406,1,1
HD 132563,3,1
HD 133131,2,3
HD 134060,1,2
HD 134606,1,5
HD 134987,1,2
HD 135625,1,1
HD 135694,1,1
HD 135872,1,1
HD 136118,1,1
HD 136352,1,3
HD 136418,1,1
HD 136925,1,1
HD 13724,1,1
HD 137388,1,1
HD 137496,1,2
HD 13808,1,2
HD 13908,1,2
HD 13931,1,1
HD 139357,1,1
HD 1397,1,1
HD 14067,1,1
