table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
stellarhosts,sy_w1magerr1,double,,,,W1 (WISE) Magnitude Upper Unc,,mag,,0,0,0,201,14.7f
stellarhosts,sy_w1magerr2,double,,,,W1 (WISE) Magnitude Lower Unc,,mag,,0,0,0,202,14.7f
stellarhosts,sy_w2mag,double,,,,W2 (WISE) Magnitude,,mag,,0,0,0,206,14.7f
stellarhosts,sy_w2magerr1,double,,,,W2 (WISE) Magnitude Upper Unc,,mag,,0,0,0,207,14.7f
stellarhosts,sy_w2magerr2,double,,,,W2 (WISE) Magnitude Lower Unc,,mag,,0,0,0,208,14.7f
stellarhosts,sy_w3mag,double,,,,W3 (WISE) Magnitude,,mag,,0,0,0,212,14.7f
stellarhosts,sy_w3magerr1,double,,,,W3 (WISE) Magnitude Upper Unc,,mag,,0,0,0,213,14.7f
stellarhosts,sy_w3magerr2,double,,,,W3 (WISE) Magnitude Lower Unc,,mag,,0,0,0,214,14.7f
stellarhosts,sy_w4mag,double,,,,W4 (WISE) Magnitude,,mag,,0,0,0,218,14.7f
stellarhosts,sy_w4magerr1,double,,,,W4 (WISE) Magnitude Upper Unc,,mag,,0,0,0,219,14.7f
stellarhosts,sy_w4magerr2,double,,,,W4 (WISE) Magnitude Lower Unc,,mag,,0,0,0,220,14.7f
stellarhosts,sy_gmag,double,,,,g (Sloan) Magnitude,,mag,,0,0,0,224,14.7f
stellarhosts,sy_gmagerr1,double,,,,g (Sloan) Magnitude Upper Unc,,mag,,0,0,0,225,14.7f
stellarhosts,sy_gmagerr2,double,,,,g (Sloan) Magnitude Lower Unc,,mag,,0,0,0,226,14.7f
stellarhosts,sy_gaiamag,double,,,,Gaia Magnitude,,mag,,0,1,0,230,14.7f
stellarhosts,sy_gaiamagerr1,double,,,,Gaia Magnitude Upper Unc,,mag,,0,1,0,231,14.7f
stellarhosts,sy_gaiamagerr2,double,,,,Gaia Magnitude Lower Unc,,mag,,0,1,0,232,14.7f
stellarhosts,sy_tmag,double,,,,TESS Magnitude,,mag,,0,0,0,236,14.7f
stellarhosts,sy_tmagerr1,double,,,,TESS Magnitude Upper Unc,,mag,,0,0,0,237,14.7f
stellarhosts,sy_tmagerr2,double,,,,TESS Magnitude Lower Unc,,mag,,0,0,0,238,14.7f
stellarhosts,sy_name,char,30.0,,30.0,System Name,,,,0,0,0,242,30s
stellarhosts,st_metratio,char,15.0,,15.0,Stellar Metallicity Ratio,,,,0,1,0,243,15s
stellarhosts,st_spectype,char,25.0,,25.0,Spectral Type,,,,0,1,0,244,25s
stellarhosts,sy_kepmag,double,,,,Kepler Magnitude,,mag,,0,0,0,246,6.3f
stellarhosts,sy_kepmagerr1,double,,,,Kepler Magnitude Upper Unc,,mag,,0,0,0,247,6.3f
stellarhosts,sy_kepmagerr2,double,,,,Kepler Magnitude Lower Unc,,mag,,0,0,0,248,6.3f
stellarhosts,st_rotp,double,,,,Stellar Rotational Period [day],,day,,0,0,0,258,8.2f
stellarhosts,st_rotperr1,double,,,,Stellar Rotational Period [day] Upper Unc.,,day,,0,0,0,259,8.2f
stellarhosts,st_rotperr2,double,,,,Stellar Rotational Period [day] Lower Unc.,,day,,0,0,0,260,8.2f
stellarhosts,st_rotplim,int,,,,Stellar Rotational Period Limit Flag,,,,0,0,0,262,11d
stellarhosts,gaia_id,char,30.0,,30.0,GAIA ID,,,,0,0,0,265,30s
stellarhosts,cb_flag,int,,,,Circumbinary Flag,,,,0,0,0,266,9d
stellarhosts,sy_icmag,double,,,,I (Cousins) Magnitude,,mag,,0,0,0,275,8.3f
stellarhosts,sy_icmagerr1,double,,,,I (Cousins) Magnitude Upper Unc,,mag,,0,0,0,276,8.3f
stellarhosts,sy_icmagerr2,double,,,,I (Cousins) Magnitude Lower Unc,,mag,,0,0,0,277,8.3f
stellarhosts,hostname,char,28.0,,28.0,Host Name,,,,0,1,0,3,28s
stellarhosts,hd_name,char,14.0,,14.0,HD ID,,,,0,0,0,4,14s
stellarhosts,hip_name,char,15.0,,15.0,HIP ID,,,,0,0,0,5,15s
stellarhosts,tic_id,char,16.0,,16.0,TIC ID,,,,0,0,0,6,16s
stellarhosts,st_refname,char,200.0,,200.0,Stellar Parameter Reference,,,,0,1,0,9,200s
stellarhosts,sy_refname,char,200.0,,200.0,System Parameter Reference,,,,0,1,0,10,200s
stellarhosts,ra,double,,,,RA [decimal],,deg,pos.eq.ra;meta.main,0,1,0,11,14.7f
stellarhosts,rastr,char,200.0,,200.0,RA [sexagesimal],,hhmmss,,0,1,0,15,200s
stellarhosts,dec,double,,,,Dec [decimal],,deg,pos.eq.dec;meta.main,0,1,0,16,14.7f
stellarhosts,decstr,char,200.0,,200.0,Dec [sexagesimal],,ddmmss,,0,1,0,20,200s
stellarhosts,glon,double,,,,Galactic Longitude [deg],,deg,,0,0,0,21,14.5f
stellarhosts,glat,double,,,,Galactic Latitude [deg],,deg,,0,0,0,26,14.5f
stellarhosts,elon,double,,,,Ecliptic Longitude [deg],,deg,,0,0,0,31,14.5f
stellarhosts,elat,double,,,,Ecliptic Latitude [deg],,deg,,0,0,0,36,14.5f
stellarhosts,st_teff,double,,,,Stellar Effective Temperature [K],,K,,0,1,0,41,8.2f
stellarhosts,st_tefferr1,double,,,,Stellar Effective Temperature Upper Unc. [K],,K,,0,1,0,42,8.2f
